_id,Scale ID,Task ID,O*NET-SOC Code
o_jobTaskRatings/8476a65b-56bd-426e-87ab-f3162ad08a5b,,8852,11-1011.00
o_jobTaskRatings/80239a8e-739b-4557-9f75-35b2e4fdd084,,8850,11-1011.00
o_jobTaskRatings/063054fa-5980-48a5-8816-39ec5b35a00f,,8842,11-1011.00
o_jobTaskRatings/517d0355-7bea-46f4-afdd-d0940a6f8b34,,15384,11-1011.03
o_jobTaskRatings/1abf21d2-7808-44b7-9180-92660906a55b,,15372,11-1011.03
o_jobTaskRatings/565fe3bc-138f-4a82-856e-8c25251e23cd,,15376,11-1011.03
o_jobTaskRatings/3f6fd49f-6ab1-4a59-b0c3-366ba70d35ef,,15381,11-1011.03
o_jobTaskRatings/20707ad3-6162-4039-918c-4a1798835807,,15382,11-1011.03
o_jobTaskRatings/b60f0994-2d6a-4f55-a10a-44c42f2b16e9,,15377,11-1011.03
o_jobTaskRatings/463a3cad-5c20-49b9-a5d1-f86d597c187d,,15380,11-1011.03
o_jobTaskRatings/6c6a83fe-b4ce-4685-9006-96348ba49e5e,,15379,11-1011.03
o_jobTaskRatings/2d60bb27-0cf8-44e3-8edd-17b30c73beec,,15370,11-1011.03
o_jobTaskRatings/ddca64de-5b81-4af1-82dc-a2db62ea7335,,15383,11-1011.03
o_jobTaskRatings/6d6cc490-7654-4f6b-835c-d9ac2a5ef983,,15367,11-1011.03
o_jobTaskRatings/3e013459-16a3-47f0-8017-a8dfc0f371dd,,15378,11-1011.03
o_jobTaskRatings/92ef4704-030d-4a63-9853-bea269e40d68,,15374,11-1011.03
o_jobTaskRatings/8dd962ee-ca3b-45a0-963f-5ac36ef55cdd,,15375,11-1011.03
o_jobTaskRatings/82b16b8e-227a-473b-931f-7fdf75ec66df,,15368,11-1011.03
o_jobTaskRatings/d0a83188-d658-40d3-9f5b-93ab4d57c6c0,,15369,11-1011.03
o_jobTaskRatings/8af89eef-2ca7-444a-a72e-da2b2ed39dc7,,15371,11-1011.03
o_jobTaskRatings/6b895cbd-e055-4e60-a6a1-63afd3610305,,15373,11-1011.03
o_jobTaskRatings/a188b4e8-5add-47f9-9f00-ad20b7f39a18,,20699,11-1021.00
o_jobTaskRatings/fb0b4524-e023-4a65-9741-082954a91459,,933,11-1021.00
o_jobTaskRatings/427c6ded-7e27-4017-b5a7-8e04c88a90ce,,20700,11-1021.00
o_jobTaskRatings/625ee340-dbce-4cae-896f-c05ff40156d7,,20701,11-1021.00
o_jobTaskRatings/2c35c91a-1448-41a2-bba8-09570138bef6,,20702,11-1021.00
o_jobTaskRatings/17b2b61b-3e73-490d-9226-1137484f1b1e,,20703,11-1021.00
o_jobTaskRatings/521b964c-b9aa-47c6-8b72-233daa8f1da1,,20704,11-1021.00
o_jobTaskRatings/85c07810-ead7-4562-83cb-0e3c23e70fb0,,20705,11-1021.00
o_jobTaskRatings/bf2be011-99a0-4ec2-98ce-56e9293dc2ef,,20706,11-1021.00
o_jobTaskRatings/11136d05-a7e9-45be-8181-078d17d7fc8b,,20707,11-1021.00
o_jobTaskRatings/d41181a1-fbaf-409b-806f-1c0e9fe63532,,20708,11-1021.00
o_jobTaskRatings/41498d5f-ca7a-417f-a0fb-25b882d509be,,944,11-1021.00
o_jobTaskRatings/8322e065-18d2-4578-9aa5-16345b73b044,,945,11-1021.00
o_jobTaskRatings/3c994a31-5ffd-4165-b065-c2c8af534cb5,,948,11-1021.00
o_jobTaskRatings/096a9559-4181-4f74-b2e4-242ca60345ab,,19501,11-1021.00
o_jobTaskRatings/4e361ff6-6136-4c03-a179-c06f1d38f5d5,,947,11-1021.00
o_jobTaskRatings/dc9dcad4-3eab-4352-8054-b6052319611c,,949,11-1021.00
o_jobTaskRatings/6197c5f9-4a0d-4110-8bc1-4dd34f94138a,,3224,11-2011.00
o_jobTaskRatings/19543472-ab4e-46f4-bd97-126827411c36,,3226,11-2011.00
o_jobTaskRatings/6ec95763-95a4-447d-bf6e-012fc3e9c174,,3225,11-2011.00
o_jobTaskRatings/bd5bdc86-a7f5-4fb4-9a5f-8d5439775793,,3231,11-2011.00
o_jobTaskRatings/b148f649-0ca2-4214-8c75-9569c2b02d07,,3242,11-2011.00
o_jobTaskRatings/7a7e161e-0228-42ff-bc6e-a6532be22331,,3227,11-2011.00
o_jobTaskRatings/cfdc10de-58b3-425a-b343-a41788759df2,,3238,11-2011.00
o_jobTaskRatings/cd53eb31-29ea-4b03-8608-667e5ead3685,,3237,11-2011.00
o_jobTaskRatings/170b9925-76fc-4f19-8177-da0b71dc388e,,3230,11-2011.00
o_jobTaskRatings/0e51a554-1883-4259-b483-948e4e0fae28,,21038,11-2011.00
o_jobTaskRatings/2b785a3f-d965-4d85-a834-2890ca23bf4c,,3223,11-2011.00
o_jobTaskRatings/b0cb5395-1ab1-43ae-927f-271bb3abda14,,3243,11-2011.00
o_jobTaskRatings/380f10a6-62fb-41ba-80a1-c010068bf655,,3233,11-2011.00
o_jobTaskRatings/dede5c82-ddbe-4253-bed8-44130e19ede5,,3229,11-2011.00
o_jobTaskRatings/853a8292-57cc-4de5-8c58-1074d871efc9,,3239,11-2011.00
o_jobTaskRatings/3d51fee7-69bd-47f2-9bea-f803b6f929b3,,3234,11-2011.00
o_jobTaskRatings/06949943-48d2-46b5-b702-9ec155747a6f,,18586,11-2011.00
o_jobTaskRatings/fcf4c0f5-cd91-474a-8d40-b43a93e8a877,,3228,11-2011.00
o_jobTaskRatings/19774d34-726c-462a-9a01-28787884c5fb,,3235,11-2011.00
o_jobTaskRatings/c9580ab5-d804-4a18-b0b5-466c1ccbf37b,,3241,11-2011.00
o_jobTaskRatings/1db61595-089e-4692-a080-7c7851248f0f,,3232,11-2011.00
o_jobTaskRatings/1c3e5240-56ba-417a-a0d3-a9f87fd7a383,,3240,11-2011.00
o_jobTaskRatings/6e8bcc13-f17d-485e-8978-971edfc07f4c,,3236,11-2011.00
o_jobTaskRatings/5455cde5-2a5b-42f4-aa0e-c66f7706db6a,,3245,11-2011.00
o_jobTaskRatings/ef2647c0-3c22-42d6-bd18-e8f71923538c,,3244,11-2011.00
o_jobTaskRatings/df5eff0c-de85-4c18-96bf-5675bfb30587,,3246,11-2011.00
o_jobTaskRatings/8ba85d06-5a3e-4c1a-9a93-3b9055b81120,,951,11-2021.00
o_jobTaskRatings/b6cdc37a-df12-4ac4-addf-48ecf2da8f4c,,20709,11-2021.00
o_jobTaskRatings/5f0c5d23-8361-420e-b586-234b7a3c92a4,,952,11-2021.00
o_jobTaskRatings/5182847c-c90b-4803-9ee2-bae4d2dc573c,,950,11-2021.00
o_jobTaskRatings/1af22e4c-e1db-4241-ba34-52fbeb903efb,,957,11-2021.00
o_jobTaskRatings/5ed8e739-c9a8-4bb9-a04e-c89e59f8e40d,,954,11-2021.00
o_jobTaskRatings/cd9feea6-431c-4808-b0ea-0a7947418741,,956,11-2021.00
o_jobTaskRatings/358c6ac7-9fb9-4774-a0dd-2fd07332d604,,958,11-2021.00
o_jobTaskRatings/4251257b-a6eb-4792-9dd7-cb23769b29d7,,955,11-2021.00
o_jobTaskRatings/26aa8009-52be-4f1b-be46-03198218f491,,961,11-2021.00
o_jobTaskRatings/59548c6d-a48e-4c28-b185-034cbe43c2c4,,963,11-2021.00
o_jobTaskRatings/933367fc-2fbf-4d7c-b3b6-5f190811177f,,960,11-2021.00
o_jobTaskRatings/1c979a4f-bfa1-45df-95c5-08c7a2da27b2,,964,11-2021.00
o_jobTaskRatings/d3a487a4-bcbe-4db8-9f47-670263f8baef,,19502,11-2021.00
o_jobTaskRatings/a58916fa-535c-44ec-bbec-f4ae5fdfc7a7,,965,11-2021.00
o_jobTaskRatings/5fbea80d-f18e-4f42-b410-a5069fc460b1,,19505,11-2021.00
o_jobTaskRatings/9872fcb3-be65-4736-8a3d-a7e8b1ef08d1,,962,11-2021.00
o_jobTaskRatings/ffd8dcaa-fd06-41ff-8325-2ddbda6bbaf0,,959,11-2021.00
o_jobTaskRatings/36657058-9d19-4cc8-b1b8-9368a7e79a54,,19503,11-2021.00
o_jobTaskRatings/94266790-6bd4-4691-97f7-489e20dab1ea,,19504,11-2021.00
o_jobTaskRatings/0a1b0f92-e652-45fe-9dc3-f264a9d758e2,,3,11-2022.00
o_jobTaskRatings/646ce67d-b0f8-4e8b-95d9-13608ea74080,,1,11-2022.00
o_jobTaskRatings/916a7cd0-f3bf-4830-b843-01bd582a5666,,5,11-2022.00
o_jobTaskRatings/a8c194d4-3d03-4550-8355-1bd8dd8ce306,,14,11-2022.00
o_jobTaskRatings/ca9f1cc6-799c-44e4-a3a8-1600b00bdd6e,,4,11-2022.00
o_jobTaskRatings/a6e64c5b-b4b6-4f41-801d-7c828a1583a1,,9,11-2022.00
o_jobTaskRatings/aa2d260e-61aa-42ab-866a-13b32f542022,,2,11-2022.00
o_jobTaskRatings/7dd97fad-38c6-4839-82e1-d572d2226fe2,,11,11-2022.00
o_jobTaskRatings/23f79f69-7d2a-49ae-b867-473dd54bbabc,,6,11-2022.00
o_jobTaskRatings/7ca47a68-78c1-4fa2-83de-df5d6d430ae3,,15,11-2022.00
o_jobTaskRatings/34715d7a-308c-4328-91e3-ef9d05cdc01c,,8,11-2022.00
o_jobTaskRatings/2b9e3134-84e0-46b8-814f-26d5fa8a5b27,,7,11-2022.00
o_jobTaskRatings/cd4e674d-1b16-4188-ad15-73843b7751bb,,10,11-2022.00
o_jobTaskRatings/85b8b456-7884-46c6-bdb8-0886625e0829,,13,11-2022.00
o_jobTaskRatings/4fb2f28b-0bdf-4f74-b1cb-302782c8e232,,17,11-2022.00
o_jobTaskRatings/00365129-e666-4a60-ba2e-a27a79391c37,,12,11-2022.00
o_jobTaskRatings/f6411dfd-b3b5-49f4-a79c-d367adaee01d,,16,11-2022.00
o_jobTaskRatings/021f453a-4240-41be-952c-7ec2bbf4f945,,18462,11-2031.00
o_jobTaskRatings/4317a349-404f-4ad6-9467-62b3d6c26e77,,3249,11-2031.00
o_jobTaskRatings/5695bab8-2545-4f41-808d-fa9408de5b81,,3251,11-2031.00
o_jobTaskRatings/8ae0d3fb-aaaa-4a1a-8ad8-f71982a25129,,3248,11-2031.00
o_jobTaskRatings/09b77dc4-7c61-4998-8d9b-ac1889343b38,,20939,11-2031.00
o_jobTaskRatings/3b69a8a4-f68d-4afc-87cd-3d1d1018a1c5,,18461,11-2031.00
o_jobTaskRatings/99eec52b-535c-4c0f-ab7c-f31566bf74cb,,3254,11-2031.00
o_jobTaskRatings/fe1671e4-d408-4cc2-a2cb-6eed64b56ab6,,3261,11-2031.00
o_jobTaskRatings/cc9d2876-a467-4676-bde2-53022ba3e236,,3260,11-2031.00
o_jobTaskRatings/a38e795b-3a62-49d0-bcd7-20b175cc37e5,,3253,11-2031.00
o_jobTaskRatings/290147f6-b3e6-4ec2-a192-d600af1ae24b,,3250,11-2031.00
o_jobTaskRatings/8d023b7d-54be-4686-a8b6-3264456fa846,,3252,11-2031.00
o_jobTaskRatings/d0fb1674-dfbc-40c4-873e-c3e9ef4740fa,,3259,11-2031.00
o_jobTaskRatings/bae948be-cfcf-4b53-bbef-dfd6b033c94c,,3257,11-2031.00
o_jobTaskRatings/ccd23909-1e0d-4332-ae17-6a5292dcb553,,20940,11-2031.00
o_jobTaskRatings/b4077455-ec66-4931-ba5f-3de32e01fce7,,3258,11-2031.00
o_jobTaskRatings/5125a2c6-1cbf-4cfa-a568-849138f029d3,,3264,11-2031.00
o_jobTaskRatings/89632157-c44f-49d2-be97-6f2fbc0a3aa0,,3256,11-2031.00
o_jobTaskRatings/077bc84b-ec4c-443c-a0a2-75644ceae108,,3265,11-2031.00
o_jobTaskRatings/0fe8502e-588b-46e5-a6ce-d40cd83b95ad,,3262,11-2031.00
o_jobTaskRatings/b9c39941-5312-4c94-979a-fae4f894e505,,3263,11-2031.00
o_jobTaskRatings/6fe98d95-8153-4b4d-b652-f11d42191eba,,18,11-3011.00
o_jobTaskRatings/80bcb46a-02c5-4207-bdd2-883668a8d64e,,21,11-3011.00
o_jobTaskRatings/2b63e02f-6594-4ffd-94d0-e57c09d93130,,20,11-3011.00
o_jobTaskRatings/51416bc9-cacd-4f06-adb4-0c054f9a8adb,,23,11-3011.00
o_jobTaskRatings/4cd972da-d708-447c-abff-a43478ee4a1c,,22,11-3011.00
o_jobTaskRatings/5aa4ca7c-f4fe-4e9c-a859-aabcff53a6d6,,30,11-3011.00
o_jobTaskRatings/c11fd9a3-ded4-4347-aec2-05b5728dbdbc,,24,11-3011.00
o_jobTaskRatings/2266c712-027a-4c31-b38e-c48a4b3a22fc,,26,11-3011.00
o_jobTaskRatings/5af45f57-a1bb-4b18-88fe-a18c01a5dfeb,,19,11-3011.00
o_jobTaskRatings/14d70393-fda9-47dd-a571-39385a6793e3,,25,11-3011.00
o_jobTaskRatings/e831f703-8714-49e2-9346-61fa015f458a,,27,11-3011.00
o_jobTaskRatings/ad63f082-98bc-4962-81f7-17f3f4069dc5,,28,11-3011.00
o_jobTaskRatings/0dd82212-8765-432c-9f8c-e289d45af0a8,,29,11-3011.00
o_jobTaskRatings/fb3484c8-cd41-4e32-9c35-a2e2095a5014,,31,11-3011.00
o_jobTaskRatings/45a59b8c-194f-47dc-abc2-a13ba591bc80,,968,11-3021.00
o_jobTaskRatings/17e25500-965c-4611-adab-bd2abc6b4be8,,975,11-3021.00
o_jobTaskRatings/b94d5760-5ad6-46fe-8c05-442ca43e7fe6,,978,11-3021.00
o_jobTaskRatings/f453b177-2214-4c29-b028-e05f67b72447,,969,11-3021.00
o_jobTaskRatings/2dc831f6-543e-4879-a428-345cfb42e2fc,,15198,11-3021.00
o_jobTaskRatings/ca902b12-1ced-4507-9163-8dda7eebc6a6,,971,11-3021.00
o_jobTaskRatings/9df5eeac-bd84-4ed0-aff7-c572c31836e8,,977,11-3021.00
o_jobTaskRatings/fa11edc9-b84b-4785-8284-48cc7f46fa59,,970,11-3021.00
o_jobTaskRatings/c962afed-a660-4e63-a813-178981710c35,,967,11-3021.00
o_jobTaskRatings/d3e5d790-e0d8-4469-91cb-8d848fd5ee98,,976,11-3021.00
o_jobTaskRatings/bed399fe-7ae1-4f88-89fe-533ea3ac9d80,,973,11-3021.00
o_jobTaskRatings/85857edd-1e60-427b-8a09-dfa16542323c,,972,11-3021.00
o_jobTaskRatings/d004255f-3b46-468f-b32b-f02328b5d39a,,980,11-3021.00
o_jobTaskRatings/042a969b-a911-4ccb-8777-a5162c1370de,,979,11-3021.00
o_jobTaskRatings/aee4b175-d757-4cd1-9461-5c8913cedd0a,,974,11-3021.00
o_jobTaskRatings/fe2537b8-86a2-45fa-805a-77a5ec3482fd,,981,11-3021.00
o_jobTaskRatings/4295e6da-abe9-4d16-bb01-1f27ce74e316,,966,11-3021.00
o_jobTaskRatings/a4aa6fb6-95e8-48de-850b-8f112df71081,,8857,11-3031.01
o_jobTaskRatings/3105130f-09e0-4364-8882-0c226cf78e18,,8865,11-3031.01
o_jobTaskRatings/753b0168-1f31-4d52-8c08-dead7464dc76,,8866,11-3031.01
o_jobTaskRatings/e8c4909d-ff4b-4e7a-ad09-2922a50585e6,,8859,11-3031.01
o_jobTaskRatings/6086907e-a28f-4ef2-b831-581d310b0d16,,8856,11-3031.01
o_jobTaskRatings/572e20f4-6422-4c38-a403-df3a7eae09ce,,8869,11-3031.01
o_jobTaskRatings/02de2280-445b-4a47-9bf8-0aba1b6bb10f,,8867,11-3031.01
o_jobTaskRatings/297f09cd-1b32-485d-8612-daf1f07a1fc3,,8868,11-3031.01
o_jobTaskRatings/fb61da1d-0bcd-4238-ac1a-83a052d019b2,,20168,11-3031.01
o_jobTaskRatings/4cef8c98-8e51-4cf9-a758-50beee442792,,8870,11-3031.01
o_jobTaskRatings/6573e333-7c2f-4cf4-9c2f-c7ef12615798,,8863,11-3031.01
o_jobTaskRatings/3b4bc1af-0c57-444e-a019-d666b5cf00bb,,8864,11-3031.01
o_jobTaskRatings/e09a1a7a-d808-43b9-a9f4-d7ccc270b452,,8861,11-3031.01
o_jobTaskRatings/a7252935-6d78-4af6-af5b-00e969bcf241,,8858,11-3031.01
o_jobTaskRatings/6b3dd0fa-d0ec-449b-9284-f26292fdaca7,,8860,11-3031.01
o_jobTaskRatings/6dd56ba4-6888-4443-89b8-17112ffa5e2f,,8871,11-3031.01
o_jobTaskRatings/f2b46028-084b-4636-83ec-948d3c4751db,,8855,11-3031.01
o_jobTaskRatings/eabd35d8-d841-4522-9681-fccb1687c757,,8873,11-3031.01
o_jobTaskRatings/7be9c22d-6c7d-4800-9f7e-7e6762d6cb9d,,20169,11-3031.01
o_jobTaskRatings/d41b50ea-1b72-42df-8668-5f7e77e05fcc,,8872,11-3031.01
o_jobTaskRatings/dd754119-029c-4ede-bd22-18e9eb20f654,,8874,11-3031.01
o_jobTaskRatings/a4269efd-1bfa-4438-8898-2baf806cb895,,8875,11-3031.01
o_jobTaskRatings/162d9cc2-41e6-43fd-a9ec-d944b881e79c,,8878,11-3031.02
o_jobTaskRatings/985e8cd5-0c0c-4ac5-a185-7c355af28b5f,,8876,11-3031.02
o_jobTaskRatings/52de3657-185c-495d-8705-9f06f1288fe7,,20462,11-3031.02
o_jobTaskRatings/06598991-c27d-453a-9296-1f7bf1e1c873,,8886,11-3031.02
o_jobTaskRatings/cccaeb31-ba00-4602-aa0b-e8b5d17d42e4,,8891,11-3031.02
o_jobTaskRatings/c9699abb-fafd-4163-b42c-b28d3c8836b7,,20463,11-3031.02
o_jobTaskRatings/5a00053d-119f-4c00-b79e-c61f3516530c,,8877,11-3031.02
o_jobTaskRatings/f9b1fa6e-c471-4da2-898b-fbe88d653881,,8882,11-3031.02
o_jobTaskRatings/e9c1450b-3b8b-433d-925d-72149df4831d,,8879,11-3031.02
o_jobTaskRatings/420b5ae4-ae31-4efa-8155-4e7bd8e8bc0b,,8883,11-3031.02
o_jobTaskRatings/8c1e394f-c84d-4662-95c0-c592491fa1a8,,8894,11-3031.02
o_jobTaskRatings/460ec310-1623-48ea-8b62-a3c08e97ca0c,,8890,11-3031.02
o_jobTaskRatings/0c2eccf1-9019-4b46-9dcc-476ef24f317a,,8887,11-3031.02
o_jobTaskRatings/cb7d830c-6106-4382-afa2-bc00adc79a53,,8892,11-3031.02
o_jobTaskRatings/200e87f5-3e47-4bbe-8977-6bf3892df0bf,,8881,11-3031.02
o_jobTaskRatings/e62ca3b6-0ef7-4744-8b78-0a5bdcc02e19,,8885,11-3031.02
o_jobTaskRatings/51624661-8132-4bdd-9676-401c963d1eb9,,8884,11-3031.02
o_jobTaskRatings/0f6acf66-1c05-49f1-9858-9eb749bac7cc,,8888,11-3031.02
o_jobTaskRatings/00472fbe-b0dc-440f-baab-40f7da40ec0b,,8893,11-3031.02
o_jobTaskRatings/a61e450c-e04b-4d34-b714-ed7d87234a9c,,8895,11-3031.02
o_jobTaskRatings/b943e6d4-53e3-4678-b451-58eeff0097e6,,8889,11-3031.02
o_jobTaskRatings/690cef0b-9667-4b7b-b461-ff4b0bd581e6,,34,11-3051.00
o_jobTaskRatings/7cc5971a-e6b7-4fce-8ced-814acfaeefef,,32,11-3051.00
o_jobTaskRatings/d4bdf1fa-aca3-409d-94ff-b55538b92dac,,40,11-3051.00
o_jobTaskRatings/a1e71caa-7931-4b83-aa8c-27d91cc42b56,,35,11-3051.00
o_jobTaskRatings/ea9f9cf2-29e2-456a-8988-66694674810a,,36,11-3051.00
o_jobTaskRatings/3a9f535d-fe43-41e5-84c4-b93cc3a0963d,,38,11-3051.00
o_jobTaskRatings/59fe6fbe-b6dc-4857-b177-11bef5e8d3cd,,39,11-3051.00
o_jobTaskRatings/ed8eaade-ab0a-4b77-a22c-fe3c3c18e525,,33,11-3051.00
o_jobTaskRatings/aa2bcb26-29e7-4dea-a0f5-6a0fd5fb948d,,37,11-3051.00
o_jobTaskRatings/9baba8b2-acf1-4863-ac77-e98b90debab0,,43,11-3051.00
o_jobTaskRatings/4719f082-9a27-4649-8872-81b88e0ed934,,41,11-3051.00
o_jobTaskRatings/635c0e7b-5c25-4a51-a1de-35e1a83e3dad,,42,11-3051.00
o_jobTaskRatings/1bfec2f1-e0a8-45db-904a-e355f058a59c,,44,11-3051.00
o_jobTaskRatings/8b474530-da8a-459f-b864-6e9c2d80ef5d,,45,11-3051.00
o_jobTaskRatings/abd3dc30-6688-4041-b8c4-179e6251ba28,,15411,11-3051.01
o_jobTaskRatings/2d238f16-e91c-4208-9cb8-07db4a0967f4,,15428,11-3051.01
o_jobTaskRatings/547379e2-19f6-4cf7-9a16-5f3afeffbd8a,,15405,11-3051.01
o_jobTaskRatings/6ac58eeb-16dd-4a2c-a2f4-2d6ef3ea6a12,,15430,11-3051.01
o_jobTaskRatings/9922dd85-0d94-4c6e-a35e-18589f1c9aaf,,15427,11-3051.01
o_jobTaskRatings/f4ea705b-0abf-475e-86ed-f5e05c9e0829,,15421,11-3051.01
o_jobTaskRatings/8c6f1969-b8db-4d0d-80f2-ba4b218b128d,,15416,11-3051.01
o_jobTaskRatings/21a48b43-cd01-40f3-a7a3-faf41ac7287c,,15417,11-3051.01
o_jobTaskRatings/8e647a05-b1e8-462f-a806-624462f84fe3,,15407,11-3051.01
o_jobTaskRatings/5b70455f-0f50-4dec-95bf-54d2a3f07614,,15422,11-3051.01
o_jobTaskRatings/b5fc1a3c-c520-494b-93ed-51bc77e8ef2f,,15425,11-3051.01
o_jobTaskRatings/37d569d0-a372-41f0-a106-ffdc0918d169,,15429,11-3051.01
o_jobTaskRatings/ed8cc958-f1d7-4ac1-a9d7-32f7c1b32d87,,15423,11-3051.01
o_jobTaskRatings/4d6d0f3d-7aee-4bb9-ad7b-92525b1d9967,,15415,11-3051.01
o_jobTaskRatings/f7c689f5-c2d3-4bcd-917b-bb0da704e253,,15420,11-3051.01
o_jobTaskRatings/c8617d1a-986b-40ef-92b0-7031a4d6faf5,,15413,11-3051.01
o_jobTaskRatings/d8dcad3a-a282-4ef7-9617-137a13eccc31,,15414,11-3051.01
o_jobTaskRatings/bbf195d3-ae9c-4c5a-8b82-51bcc379f8bb,,15408,11-3051.01
o_jobTaskRatings/d98bccd7-8979-493d-b9e6-3c1bc8e57ebf,,15424,11-3051.01
o_jobTaskRatings/c73071c9-cf3f-4d7f-9b48-613df59ddb37,,15409,11-3051.01
o_jobTaskRatings/b8a2a136-bcd2-4a12-b987-6ab495a0c5ec,,15431,11-3051.01
o_jobTaskRatings/00ef04a7-3749-451b-94fb-cef722d191ed,,15419,11-3051.01
o_jobTaskRatings/b9552bd3-76be-492a-924c-a89002431d39,,15410,11-3051.01
o_jobTaskRatings/4c47748d-1107-4a7c-9653-d0da9b2ef584,,15418,11-3051.01
o_jobTaskRatings/00f504c5-2d53-4e35-a9fe-535a4ad82f1c,,15426,11-3051.01
o_jobTaskRatings/bd9e60e6-a8a7-4009-a256-6bdc274fbde7,,15406,11-3051.01
o_jobTaskRatings/5b19c1b5-4ec9-4e0c-b7f3-d3f99232f176,,15412,11-3051.01
o_jobTaskRatings/3dcd1a65-4ab5-429c-90f8-adc1d0983cbb,,15446,11-3051.02
o_jobTaskRatings/d259451a-3fdc-47fd-b772-6a59600201b8,,15447,11-3051.02
o_jobTaskRatings/2c58618b-a05b-4385-a784-37bb668214d3,,15434,11-3051.02
o_jobTaskRatings/cbad08bb-a616-457f-a4ab-ad6ea253c798,,15443,11-3051.02
o_jobTaskRatings/e454b50a-f8c0-43ed-ab36-c27af8584bf0,,15439,11-3051.02
o_jobTaskRatings/8f3057d6-5bd7-41ee-9ad0-4455778b4939,,15448,11-3051.02
o_jobTaskRatings/74a2ab9c-7a5d-4afe-bec7-f10918c6b64f,,15445,11-3051.02
o_jobTaskRatings/e85a6bc4-f75f-4957-b803-60c79b485e8c,,15433,11-3051.02
o_jobTaskRatings/232e4572-fa8b-47f0-b891-4435478062b7,,15444,11-3051.02
o_jobTaskRatings/37d82608-edf2-4b65-8353-9261e3ed754e,,15436,11-3051.02
o_jobTaskRatings/d0f20c22-ff4a-44ff-b500-1f18e7971120,,15441,11-3051.02
o_jobTaskRatings/614d012e-071d-4316-9783-b8a943a8720f,,15432,11-3051.02
o_jobTaskRatings/34120d35-938b-4f82-a785-c00309c49de6,,15442,11-3051.02
o_jobTaskRatings/56ae0cf8-6330-4b23-ad66-c26741a0525a,,15437,11-3051.02
o_jobTaskRatings/fffde47f-39fb-4dd6-adb7-e39e20a921f3,,15440,11-3051.02
o_jobTaskRatings/92187319-5b16-4bb9-a208-6c24c258a146,,15438,11-3051.02
o_jobTaskRatings/421e64a4-bfc2-4682-8efb-ca6b89b5c683,,15435,11-3051.02
o_jobTaskRatings/d1f387e0-c74a-4743-829f-932b2239547f,,15454,11-3051.03
o_jobTaskRatings/8b433525-269d-4f47-97d7-5835a5c5ddd1,,15462,11-3051.03
o_jobTaskRatings/8312abb1-9776-4a53-a91b-476cd67e4cb3,,15450,11-3051.03
o_jobTaskRatings/1fc0bd2e-1ff9-4262-8e57-031e4e63583c,,15453,11-3051.03
