_id,Element ID,DWA ID,DWA Title
o_dwa/c10f422a-114e-4d5e-9307-440ab51dbdc8,4.A.1.a.1,4.A.1.a.1.I23.D08,"Interview clients to gather information about their backgrounds, needs, or progress."
o_dwa/c6c86c51-e101-4d32-9a51-ef192b7e8645,4.A.1.a.1,4.A.1.a.1.I23.D09,"Interview witnesses, suspects, or claimants."
o_dwa/1657e870-436c-485f-a8df-1f5e688db6e5,4.A.1.a.2,4.A.1.a.2.I01.D01,Monitor broadcasting operations to ensure proper functioning.
o_dwa/6eb9421e-610d-447a-8ed1-afbcde369e16,4.A.1.a.2,4.A.1.a.2.I01.D02,Monitor medical equipment to ensure proper functioning.
o_dwa/5fb55e55-f481-4c9d-b2f1-3406558e9b1e,4.A.1.a.2,4.A.1.a.2.I01.D03,Monitor engine operation or functioning.
o_dwa/ab24f6ef-d5e9-4707-8385-0770d5c0441f,4.A.1.a.2,4.A.1.a.2.I01.D04,Monitor lubrication of equipment or workpieces.
o_dwa/7866cb02-7556-4e3c-865c-91c93ad27334,4.A.1.a.2,4.A.1.a.2.I01.D05,Monitor equipment operation to ensure proper functioning.
o_dwa/0a83c111-5c88-48f2-b4ec-d85ad9e64a86,4.A.1.a.2,4.A.1.a.2.I01.D06,Observe equipment in operation to detect potential problems.
o_dwa/4c42056f-4302-4209-9551-9e99571a14b3,4.A.1.a.2,4.A.1.a.2.I01.D07,Watch operating equipment to detect malfunctions.
o_dwa/494702d7-0301-4976-ad25-dcc74ab50582,4.A.1.a.2,4.A.1.a.2.I01.D08,"Monitor green energy equipment, systems, or facilities."
o_dwa/e1c83152-dfd6-40dc-890e-218a99a81544,4.A.1.a.2,4.A.1.a.2.I01.D09,Assess equipment functioning.
o_dwa/c2dbafbb-8d4f-48cd-b82b-cc23d0ab130d,4.A.1.a.2,4.A.1.a.2.I01.D10,Monitor equipment operation to ensure that products are not flawed.
o_dwa/efbd257e-8a1b-44a7-a42c-a92471fbe9da,4.A.1.a.2,4.A.1.a.2.I01.D11,Monitor instruments to ensure proper production conditions.
o_dwa/c01af85f-ec12-4a0f-b1b8-b471017d96ba,4.A.1.a.2,4.A.1.a.2.I01.D12,Monitor video displays of medical equipment to ensure proper functioning.
o_dwa/9a016299-6767-4f72-98e6-2e2a3c71a389,4.A.1.a.2,4.A.1.a.2.I01.D13,Monitor equipment gauges or displays to ensure proper operation.
o_dwa/f8f633f9-47f1-411d-b114-6d76592fb7c1,4.A.1.a.2,4.A.1.a.2.I01.D14,Monitor equipment fluid levels.
o_dwa/69c141e2-d64a-4db1-882d-0218e899aa2c,4.A.1.a.2,4.A.1.a.2.I02.D01,Monitor industrial energy consumption or management.
o_dwa/685516f2-26ae-4629-96e3-371e26af3152,4.A.1.a.2,4.A.1.a.2.I02.D02,Monitor facilities or operational systems.
o_dwa/fde73c6e-db33-4155-9cb5-9630d5a3686d,4.A.1.a.2,4.A.1.a.2.I02.D03,Monitor operational quality or safety.
o_dwa/b39d163a-83b7-4263-b8dc-9c2c3b965bfa,4.A.1.a.2,4.A.1.a.2.I02.D04,Monitor extraction operations.
o_dwa/26c65e23-dffb-4a7a-8d1b-6ffb09b0591f,4.A.1.a.2,4.A.1.a.2.I02.D05,Monitor organizational procedures to ensure proper functioning.
o_dwa/b2fe6a8b-0522-4a92-bb08-95a10d695f31,4.A.1.a.2,4.A.1.a.2.I02.D06,Monitor construction operations.
o_dwa/f3419978-b874-4f8c-91cf-048dced565e8,4.A.1.a.2,4.A.1.a.2.I02.D07,Monitor vehicle movement or location.
o_dwa/5c77486f-facd-493d-80e5-90cf6c258357,4.A.1.a.2,4.A.1.a.2.I02.D08,Monitor recreational facility operations.
o_dwa/f34ce638-b38a-4805-ba9e-60082d1ba7ce,4.A.1.a.2,4.A.1.a.2.I02.D09,Inspect operational processes.
o_dwa/55b0a71f-fa52-40d7-9448-18e5b05e48a2,4.A.1.a.2,4.A.1.a.2.I02.D10,Track goods or materials.
o_dwa/58700411-47a8-4f4b-83b7-ccf8db752987,4.A.1.a.2,4.A.1.a.2.I02.D11,Monitor food services operations to ensure procedures are followed.
o_dwa/ddca49bf-f1e3-49b3-bfa2-cd1e9adffe3f,4.A.1.a.2,4.A.1.a.2.I02.D12,Monitor loading processes to ensure they are performed properly.
o_dwa/1cf707ef-7322-4809-8d1f-f7334c1b8363,4.A.1.a.2,4.A.1.a.2.I02.D13,Monitor biofuel production operations.
o_dwa/dbda2bac-4235-4ed0-899a-1f6d19057952,4.A.1.a.2,4.A.1.a.2.I02.D14,Inspect cargo to ensure it is properly loaded or secured.
o_dwa/fd1edc9d-27de-4c8a-90a4-101b4a909d67,4.A.1.a.2,4.A.1.a.2.I02.D15,Monitor the productivity or efficiency of industrial operations.
o_dwa/f55ff5aa-5828-4798-b038-d8d38f910f84,4.A.1.a.2,4.A.1.a.2.I02.D16,Monitor operational procedures in technical environments to ensure conformance to standards.
o_dwa/43fc6933-f793-4a0b-9809-f82df4c01421,4.A.1.a.2,4.A.1.a.2.I02.D17,Inspect operations of green energy facilities.
o_dwa/a4d89dc3-f666-4af5-aa9d-74e45bf4c152,4.A.1.a.2,4.A.1.a.2.I02.D18,Monitor conditions at energy-producing landfills.
o_dwa/0ace2b86-5cfe-4003-a370-0fd842a7dd67,4.A.1.a.2,4.A.1.a.2.I02.D19,Monitor the handling of hazardous materials or medical wastes.
o_dwa/f424c122-45a0-4644-93eb-bdf6ed76c72f,4.A.1.a.2,4.A.1.a.2.I02.D20,Monitor organizational processes.
o_dwa/6b3451de-60e5-454b-aad3-e93bb137281b,4.A.1.a.2,4.A.1.a.2.I03.D01,Monitor financial information.
o_dwa/38957456-8f94-4c11-9088-9cea7399ad64,4.A.1.a.2,4.A.1.a.2.I03.D02,Monitor financial activities.
o_dwa/69a7f5ed-1786-46d7-857b-0713cd19401e,4.A.1.a.2,4.A.1.a.2.I03.D03,Monitor sales activities.
o_dwa/c5389bfa-e5bd-4c2f-8575-c637c5cc0d30,4.A.1.a.2,4.A.1.a.2.I03.D04,Monitor flow of cash or other resources.
o_dwa/6f36ddc6-6725-4b43-86b1-de96b3a9a325,4.A.1.a.2,4.A.1.a.2.I03.D05,Monitor financial indicators.
o_dwa/520ea34e-2fd2-4eff-b3c9-15a6d905a1ea,4.A.1.a.2,4.A.1.a.2.I03.D06,Monitor business indicators.
o_dwa/dc85fb38-20ed-4092-81a2-068485de2b6a,4.A.1.a.2,4.A.1.a.2.I04.D01,Monitor traffic signals.
o_dwa/681a79f6-877c-46fe-8ac8-499bfd9bf595,4.A.1.a.2,4.A.1.a.2.I04.D02,Time vehicle speed or traffic-control equipment operation.
o_dwa/7bcbb2b4-21f5-4c9e-b735-9647409bc54f,4.A.1.a.2,4.A.1.a.2.I05.D01,Monitor patient progress or responses to treatments.
o_dwa/07e01183-a6fd-4130-b2b3-868cf599c447,4.A.1.a.2,4.A.1.a.2.I05.D02,Monitor clients to evaluate treatment progress.
o_dwa/616f8fc3-5f2f-4ce6-a798-c19c4c508ab8,4.A.1.a.2,4.A.1.a.2.I05.D03,Monitor patients following surgeries or other treatments.
o_dwa/285c38ad-8021-4565-98c3-9a8b9cb73d2b,4.A.1.a.2,4.A.1.a.2.I05.D04,Monitor animal behavior or condition.
o_dwa/7a2e95bc-3001-4358-a3aa-ed9722256b03,4.A.1.a.2,4.A.1.a.2.I05.D05,Monitor health or behavior of people or animals.
o_dwa/92853019-c9ba-4b8e-b445-0832f260639d,4.A.1.a.2,4.A.1.a.2.I05.D06,Monitor patients to detect health problems.
o_dwa/dee49c68-6732-41f4-8898-308d9332b55e,4.A.1.a.2,4.A.1.a.2.I05.D07,"Monitor patient conditions during treatments, procedures, or activities."
o_dwa/9860ea6a-a95a-4786-bdb1-ff6dbec7f2bf,4.A.1.a.2,4.A.1.a.2.I05.D08,Monitor nutrition related activities of individuals or groups.
o_dwa/84f3d777-904e-4286-b18e-35019c8e537c,4.A.1.a.2,4.A.1.a.2.I06.D01,Monitor performance of organizational members or partners.
o_dwa/438dc61f-842d-49db-93dc-8c2164b27782,4.A.1.a.2,4.A.1.a.2.I06.D02,Monitor patron activities to identify problems or potential problems.
o_dwa/8b71c841-0aa6-4e7e-80b9-ae9c4604f693,4.A.1.a.2,4.A.1.a.2.I06.D03,Monitor student performance.
o_dwa/032c4753-6feb-4bad-bd4f-86599e55d5bd,4.A.1.a.2,4.A.1.a.2.I06.D04,Supervise school or student activities.
o_dwa/1254542c-257a-41ba-8a86-57f4eaf63272,4.A.1.a.2,4.A.1.a.2.I06.D05,Enforce rules or policies governing student behavior.
o_dwa/1496847a-fcfe-4586-beef-3528dc03e1ae,4.A.1.a.2,4.A.1.a.2.I06.D06,Monitor activities of individuals to ensure safety or compliance with rules.
o_dwa/9ccda2f1-008c-4291-9d75-f25d8b61bc4d,4.A.1.a.2,4.A.1.a.2.I06.D07,"Monitor student behavior, social development, or health."
o_dwa/1701974b-6867-4a12-8535-f95a9ef151c9,4.A.1.a.2,4.A.1.a.2.I07.D01,Monitor environment to ensure safety.
o_dwa/12ca2e51-d9e4-474f-bc80-de2b7198c23a,4.A.1.a.2,4.A.1.a.2.I07.D02,Monitor access or flow of people to prevent problems.
o_dwa/aa6774e7-7f8b-4082-b7c3-e315d8e9f61b,4.A.1.a.2,4.A.1.a.2.I07.D03,Monitor building premises to ensure occupant or visitor safety.
o_dwa/f14741bb-d80b-4264-9bd4-c1af3f7a78a4,4.A.1.a.2,4.A.1.a.2.I07.D04,Locate suspicious objects or vehicles.
o_dwa/ae475bc0-6c0d-4e16-977b-9414d237d1df,4.A.1.a.2,4.A.1.a.2.I07.D05,Patrol properties to maintain safety.
o_dwa/37f7d9f9-16d3-473f-86e0-f147a4754623,4.A.1.a.2,4.A.1.a.2.I07.D06,Monitor work areas to provide security.
o_dwa/9ce13658-58e8-4fce-ae68-47ef03f6354b,4.A.1.a.2,4.A.1.a.2.I07.D07,Maintain surveillance of individuals or establishments.
o_dwa/507fd79f-6ac1-4e5e-8ec5-d4bbeabd71bc,4.A.1.a.2,4.A.1.a.2.I07.D08,Monitor alarm systems.
o_dwa/b57dc2f3-48f1-4c64-91d8-b765b7c4a492,4.A.1.a.2,4.A.1.a.2.I07.D09,Monitor work areas or procedures to ensure compliance with safety procedures.
o_dwa/a7365369-91e1-4d18-bc4d-26e63939d66d,4.A.1.a.2,4.A.1.a.2.I07.D10,Locate fires or fire danger areas.
o_dwa/d716254d-aaa6-4d71-a9c0-48db52d196c9,4.A.1.a.2,4.A.1.a.2.I07.D11,Monitor surroundings to detect potential hazards.
o_dwa/986298d8-31f3-4158-94d4-fdabeb2a1cfa,4.A.1.a.2,4.A.1.a.2.I07.D12,Patrol natural areas to ensure safety or enforce regulations.
o_dwa/d876ccd6-026c-4853-8c50-60ff0c126be3,4.A.1.a.2,4.A.1.a.2.I07.D13,Monitor work environment to ensure safety or adherence to specifications.
o_dwa/52f04f7f-26b7-49bb-8750-f5e5730e5c1f,4.A.1.a.2,4.A.1.a.2.I08.D01,Monitor market conditions or trends.
o_dwa/227d31de-18b3-4b1f-abad-5b6010a73130,4.A.1.a.2,4.A.1.a.2.I08.D02,Monitor current trends.
o_dwa/a55d0ebc-2ffd-4117-8616-1de9e10a9477,4.A.1.a.2,4.A.1.a.2.I08.D03,Monitor external affairs or events affecting business operations.
o_dwa/27b75ae5-21d5-4066-a23e-6f4f716f15a2,4.A.1.a.2,4.A.1.a.2.I09.D01,Inspect landscaping to determine treatment needs.
o_dwa/eb132239-8e49-47b8-91f9-c8552ebbcc0c,4.A.1.a.2,4.A.1.a.2.I09.D02,Monitor environmental conditions to detect hazards.
o_dwa/597b5aee-25d2-413d-b2c2-dcbeeba7a5df,4.A.1.a.2,4.A.1.a.2.I09.D03,Measure environmental characteristics.
