_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/5e19a9f2-4909-433e-b433-69ac02a8405a,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,87,07/2014,Incumbent
o_tasks/0c51a535-4988-4110-a1e0-608d8ffce2f0,055bed11-2d4b-45dd-a4ea-4663ef2172fd,Review research literature.,New,4,07/2017,Occupational Expert
o_tasks/6bdb6d09-9842-4a59-a728-f87ddd8e79f9,8851,Conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.,Supplemental,87,07/2014,Incumbent
o_tasks/84b065a4-fcc9-4072-982e-4496b71b3bf6,e5c925a0-ad35-4215-a409-52e612a36d4c,"Estimate resources, such as production hours, required for projects.",New,5,08/2018,Incumbent
o_tasks/e2e6e329-3af6-49eb-995a-abd2d17de00d,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,87,07/2014,Incumbent
o_tasks/d4f4c58b-a4db-4496-84ca-3e2c5d8d5264,e8c5ff75-6da5-4a7a-aef7-c34c2fbc908d,Develop software for aerospace systems.,New,6,07/2015,Incumbent
o_tasks/c3de8de7-5a24-4ffb-bf74-70b51a6d92bf,8853,Prepare bylaws approved by elected officials and ensure that bylaws are enforced.,Supplemental,86,07/2014,Incumbent
o_tasks/cabf194a-73bf-4152-850b-d6156faafe57,dd4c2140-2a5c-4374-89cb-c90e683047b3,"Design and deliver technology, such as prosthetic devices, to assist people with disabilities.",Revision,4,07/2017,Occupational Expert
o_tasks/d0e96f72-363f-4dca-9a0c-890d3dc5ad63,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Supplemental,87,07/2014,Incumbent
o_tasks/e7d083ac-b93a-4d72-b0a9-a551b8f5b801,c160eb5e-68bc-416c-b102-befe78b5445e,Develop computer models of chemical processes.,New,4,07/2017,Occupational Expert
o_tasks/c1091cea-c07b-4251-812c-1b69e8057ba5,8849,Attend and participate in meetings of municipal councils or council committees.,Supplemental,86,07/2014,Incumbent
o_tasks/6eb562ff-f108-461e-812d-7dfa557c8eb0,af06f6bb-210f-46e6-b2d8-3df7fdc22fa9,Develop software to control electrical systems.,New,9,07/2015,Incumbent
o_tasks/ed56b074-b29b-4ed1-b267-050d0ff34b55,8852,Represent organizations or promote their objectives at official functions or delegate representatives to do so.,Supplemental,86,07/2014,Incumbent
o_tasks/dcabd284-323f-4c13-b928-10eac34af703,b0b4a684-3ad1-4008-a515-2fa3e0321532,Evaluate the operation and maintenance of water/wastewater systems to identify ways to improve their efficiency.,New,5,07/2012,Occupational Expert
o_tasks/483b1a47-414c-42cc-b87f-b9895934e0f0,8850,Organize or approve promotional campaigns.,Supplemental,87,07/2014,Incumbent
o_tasks/92581e4a-9cc7-4402-ba3e-9138af6fb4df,2a2bc9d9-7063-4bc2-ac36-0f39f46dc84f,"Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.",Revision,6,07/2013,Occupational Expert
o_tasks/b3a5675e-b315-4afc-a2c7-087333c4548d,8842,Nominate citizens to boards or commissions.,Supplemental,87,07/2014,Incumbent
o_tasks/e458e774-7e60-4caa-9e16-db7471595394,518754f3-1c4d-491b-a944-f396ba15ba5a,"Conduct analyses of ships, such as stability, structural, weight, or vibration analyses.",Revision,20,07/2015,Incumbent
o_tasks/c22c563f-93a7-4cf5-a7fa-fc0d163456dc,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,26,07/2013,Occupational Expert
o_tasks/da0792b7-643d-4b0c-aa14-8294689bca87,3ef67be1-80a7-4a59-91a5-8578c209fc6f,Present technical information at conferences.,New,5,07/2012,Occupational Expert
o_tasks/633d17b2-bde3-4a8d-adca-cf610237598a,15372,Supervise employees or volunteers working on sustainability projects.,Core,26,07/2013,Occupational Expert
o_tasks/387fb5d6-4223-42d6-8a69-4682be6aa9a9,eff7018e-2395-49f8-84df-afa807eb25cc,Analyze meteorological data.,New,7,07/2012,Incumbent
o_tasks/75c03c37-5324-488b-85e0-99c052102f43,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,26,07/2013,Occupational Expert
o_tasks/413dddf2-4793-4ba6-a8cf-d41525781002,f905f230-a426-413e-bede-e50a3e6cd2e9,Design electrical interconnections.,New,5,07/2012,Incumbent
o_tasks/2addf82d-aa54-4a7c-af33-8b00e4160bc0,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,26,07/2013,Occupational Expert
o_tasks/6aecbece-b87a-42bf-bffb-e5fd0bb21916,b50ff7f7-44c5-4ccc-9c17-bc9298ea18ae,Design wind turbine components.,New,7,07/2012,Incumbent
o_tasks/1fe62673-eb1e-4e1c-9b53-250930645e69,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,26,07/2013,Occupational Expert
o_tasks/0c598b5d-aec0-494b-bffb-462de43ac3e6,dc4d88e2-2497-4461-a535-b54493cf70c5,Estimate energy production by analyzing wind data.,New,15,07/2012,Incumbent
o_tasks/5872e642-f7a6-4e64-b3c4-530307f440a1,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,26,07/2013,Occupational Expert
o_tasks/88196cbd-a134-4955-9e58-05fb75eb330d,fa273357-71de-47ca-b10a-6a41b073d6e8,Create bills of materials.,New,5,07/2017,Incumbent
o_tasks/168f556e-6d0e-4d01-aa6a-57f36377d8a2,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,26,07/2013,Occupational Expert
o_tasks/035b848b-5aed-45cc-895b-6f2f6000948f,9dc20b01-3ef6-4c0b-a7cd-ec65a2e3d337,"Create engineering drawings, schematics or blueprints.",New,5,07/2014,Incumbent
o_tasks/1e0f49c2-4986-4bd3-a428-0c8c1bb92c62,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,26,07/2013,Occupational Expert
o_tasks/db7137e4-4aaa-4e48-9ef9-92d02752180c,5ceafe00-be99-4aa5-ac5b-8c1bae7bc0f4,"Adjust and operate surveying instruments such as prisms, theodolites, electronic distance measuring equipment, or electronic data collectors.",Revision,4,07/2017,Occupational Expert
o_tasks/893a89aa-14ac-4587-854a-c8c012906a11,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,26,07/2013,Occupational Expert
o_tasks/c997fda3-46a9-4639-991b-4599f691a868,3993e869-1c1e-46fe-9ac6-ef4d86e7f76f,"Conduct surveys to ascertain the locations of natural features and man-made structures on the Earth's surface, underground, and underwater, using electronic distance-measuring equipment, such as GPS, and other surveying instruments.",Revision,6,07/2017,Occupational Expert
o_tasks/bdfd0bad-983f-4c5b-8f16-5424d53f1e0f,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,26,07/2013,Occupational Expert
o_tasks/1d325f99-fa42-44ab-aaa8-d4118441ef15,fc6dd2ed-2844-4e49-99d9-d9ebbd07f5b1,Prepare cost estimates for mapping projects.,New,6,07/2014,Incumbent
o_tasks/b4c5e781-55c3-4dfa-aabd-a65edb094700,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,26,07/2013,Occupational Expert
o_tasks/b6d22a1a-0f11-4f84-aa01-b21a643ff08b,9e929bd5-9c7a-4408-a1a3-fe5a819bfb8a,Conduct experiments to investigate the underlying mechanisms involved in plant growth and plant responses to the environment.,New,8,07/2014,Occupational Expert
o_tasks/b431ab40-59b8-4782-ac73-f87d5ba89328,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,26,07/2013,Occupational Expert
o_tasks/c8aa69a9-5293-4be2-8746-b9946c282b30,c3075e08-f91e-48e3-96e6-04ff68f185b9,Write grant proposals to obtain funding for research.,New,8,07/2012,Occupational Expert
o_tasks/dac00e97-097a-4696-b80a-f21f2c45d3f2,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,26,07/2013,Occupational Expert
o_tasks/4c71e450-e5b2-49e3-a720-ffecb547348f,90e44ec0-ca56-420f-972e-6c8115417a82,Conduct literature reviews.,New,5,08/2018,Incumbent
o_tasks/119c0864-c1a7-4e34-b372-db62af307785,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,26,07/2013,Occupational Expert
o_tasks/758af434-b88d-4fa2-a3b4-3ba96d006242,651fd09b-4bf1-4ecb-966e-75a3ddef831d,"Develop or make recommendations on management systems and plans for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.",Revision,13,08/2018,Incumbent
o_tasks/4eedd2bb-2fa7-44e3-bf2d-78d5d5af2fff,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,26,07/2013,Occupational Expert
o_tasks/fb93508f-6d2c-4b88-92a0-44da70968887,fbac20da-06b0-4a59-8528-bd1e25abdca7,"Prepare or review reports, manuscripts, or meeting presentations.",Revision,4,07/2016,Occupational Expert
o_tasks/576c949a-1cdf-4172-af9e-135892c9faf4,15369,Conduct risk assessments related to sustainability and the environment.,Core,26,07/2013,Occupational Expert
o_tasks/dfd1e570-fb64-4b14-b26e-715dc9fd8065,3dd4fc1c-1e4e-4620-bf6f-2a9cd8f89422,Write grant applications to obtain funding.,New,5,07/2016,Occupational Expert
o_tasks/f7e3378e-61ce-47b2-8e0f-14552865678a,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,26,07/2013,Occupational Expert
o_tasks/12953ddd-f03c-4075-abe0-7f162329980c,03e148cf-ac1e-4f49-955f-c10e57996edc,Develop soil maps.,New,6,07/2011,Occupational Expert
o_tasks/a46b82e8-3b3e-4f1f-8448-a58117936163,15373,Write and distribute financial or environmental impact reports.,Core,26,07/2013,Occupational Expert
o_tasks/28a806f6-9ceb-4fc2-80f1-d79a15a5e6ec,270adcf9-506a-48dc-a6cd-56c2b3980019,Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.,New,15,12/2005,Incumbent
o_tasks/03b8f189-0c54-403b-8198-2071d28fed00,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,157,07/2015,Incumbent
o_tasks/26378e54-c272-463b-900f-701bb1be1b0e,9b22c0ad-20f8-43da-8263-572a968bebc8,"Regulate grazing (e.g., by issuing permits and checking for compliance with standards), and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.",Revision,20,12/2005,Incumbent
o_tasks/204c2794-38af-432d-8194-595fb732d076,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,157,07/2015,Incumbent
o_tasks/693ac778-bc33-4890-87f1-294c3b4fbfbd,ba3553cb-e500-40f5-8d78-fdb478ba959f,Provide care for park program animals.,New,6,07/2016,Incumbent
o_tasks/e07b565a-96c9-495f-b3f7-c731584f8e8a,20700,Direct administrative activities directly related to making products or providing services.,Core,156,07/2015,Incumbent
o_tasks/c4c8771b-c774-49a8-8b81-497a0a4572e6,1035b141-c07c-4696-afe7-91b2de6cfe99,Train staff on park programs.,New,6,07/2016,Incumbent
o_tasks/2e6bf06f-d5dc-4f57-b548-2adda27c0a61,20701,Prepare staff work schedules and assign specific duties.,Core,158,07/2015,Incumbent
o_tasks/f502b09c-d5e2-4283-a64d-308e577d3a8c,42b9493c-1b97-4327-9ed5-1459235fc1e3,Write articles for publication in professional journals.,New,5,07/2016,Occupational Expert
o_tasks/00c370b8-e46b-493b-a2bb-fb9a5fb81be9,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,157,07/2015,Incumbent
o_tasks/dc50adcb-ba36-4fdc-83d1-4b4883d22d99,385387e6-88b6-44a6-b9dd-b7f7fc178090,Write grant applications for funding epidemiologic research.,New,6,07/2016,Occupational Expert
o_tasks/d7f6270a-af77-47e3-9f26-1d37388389ac,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,157,07/2015,Incumbent
o_tasks/fe24ae10-6cc6-489f-ae67-5181caeb8b5d,fa3999f8-b3a0-4a29-b158-72397d132f2e,Write applications for research grants.,New,12,07/2012,Incumbent
o_tasks/4c8228c3-7e79-4a20-b1cf-29525f80447e,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,157,07/2015,Incumbent
o_tasks/f76a579b-bec9-4d80-bd9e-d585c714c613,951bf408-5b63-4d1b-b16a-8d5f616768d0,Conduct question and answer presentations on astronomy topics with public audiences.,New,7,07/2011,Occupational Expert
o_tasks/b2c6bbf9-f7e0-46fe-9405-5ab673b88e69,20705,"Perform personnel functions such as selection, training, or evaluation.",Core,158,07/2015,Incumbent
o_tasks/07d4efc9-2fda-45f0-8928-7ceaa81a6961,964b7cd2-4ef4-4dff-a9bf-1e1b19a44823,Mentor graduate students and junior colleagues.,New,7,07/2011,Occupational Expert
o_tasks/948146cf-654e-425f-be7c-acb13c7ae647,20706,Plan or direct activities such as sales promotions that require coordination with other department managers.,Core,158,07/2015,Incumbent
o_tasks/76d2e4ed-bfe7-4c8e-ac93-20ebc3bb62d6,4185441d-ad37-4b56-9edd-4d022faa8e51,Supervise students' research on celestial and astronomical phenomena.,New,4,07/2011,Occupational Expert
o_tasks/d5954db1-6613-4a5d-ad76-491898d28673,20707,Set prices or credit terms for goods or services based on forecasts of customer demand.,Supplemental,158,07/2015,Incumbent
o_tasks/b067aec2-37d6-449d-a87c-2964b248a449,2860a3ca-6965-4def-9dd0-764b8cbd84b3,Write research proposals to receive funding.,New,8,12/2006,Incumbent
o_tasks/2320ce6c-cfc4-4465-93a8-dda4083a19d7,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,158,07/2015,Incumbent
o_tasks/848ddffe-0705-46e0-85cc-882e858061b5,080ec6d6-6f60-4716-8233-77e2dd8750fb,Write research papers for publication in scientific journals.,New,18,07/2012,Occupational Expert
o_tasks/11012c93-7c83-46e5-a641-7bb46e1209aa,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,158,07/2015,Incumbent
o_tasks/b6b2e004-d080-4630-a1c2-b14d80a5f9ee,a37a2a68-1fb9-4d31-873d-c83bd3db9f39,Write grants to obtain funding for restoration projects.,New,4,07/2013,Occupational Expert
o_tasks/7c0d70c1-f4a6-469a-8283-49631a0ec1dd,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,158,07/2015,Incumbent
o_tasks/98a64af4-f7da-4a94-8885-e70e322c8039,0f18a359-b54b-48ab-aeef-15b804bf582c,"Review environmental, historical, or technical reports and publications for accuracy.",New,4,07/2013,Occupational Expert
o_tasks/096a3a0a-71c7-43a9-a2ec-f772ebab01f6,948,Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,Supplemental,158,07/2015,Incumbent
o_tasks/6722f382-71c3-452d-ad7c-02f7c4d5bf70,f3675674-669e-4e8c-8449-84610bb96919,"Prepare reports or presentations describing research results, using illustrations, maps, appendices, and other information.",Revision,7,08/2018,Occupational Expert
o_tasks/a268ddab-550c-4df5-ae4b-960223f063ea,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,157,07/2015,Incumbent
o_tasks/6ea09086-950b-425b-99d9-a49e5f8d4a51,18e69fb4-2a4e-4ff9-ba51-f5eb99193122,Review documents written by others.,New,5,08/2019,Occupational Expert
o_tasks/65cab9a5-df14-4f83-ac8e-0d6fad5b1116,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,158,07/2015,Incumbent
o_tasks/4a3b52d6-8939-4237-8a35-f094b7df45c2,8e6802e5-4af9-4b5c-be06-c1284fe8c368,Teach courses in environmental economics.,New,7,07/2012,Occupational Expert
o_tasks/f2ec94d6-e623-460c-8261-369805dda2a6,949,Plan store layouts or design displays.,Supplemental,158,07/2015,Incumbent
o_tasks/0b4327c6-a5b9-4dcc-a0ad-f7b8492fe33c,0455cd6f-e694-45bf-91a1-367beb122be4,Conduct assessments of patients' risk for harm to self or others.,New,5,07/2012,Incumbent
o_tasks/54b83074-d6bf-47db-99ac-49711aa9d89c,15267,Analyze and understand the local and national implications of proposed legislation.,n/a,n/a,06/2006,Analyst
o_tasks/0d125ffd-928e-4365-8f1c-2089f041a1aa,0e4ef400-dc77-448f-bce4-b5663e19ac57,Prepare written evaluations of individuals' psychological competence for court hearings.,New,8,07/2012,Incumbent
o_tasks/29b015be-6ebb-434c-a605-8b303edd9a50,15268,"Appoint nominees to leadership posts, or approve such appointments.",n/a,n/a,06/2006,Analyst
o_tasks/084cb264-ad42-4858-9fb7-859a78b40925,c6457d90-e6fa-488c-91b4-a14b4250149e,"Supervise and train interns, clinicians in training, and other counselors.",Revision,8,07/2012,Incumbent
o_tasks/84f7f446-e2f2-4c66-bbc7-5175ebc5f844,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,n/a,n/a,06/2006,Analyst
o_tasks/8e81e4ba-4572-4983-8775-e9e5fbafa695,ac89fb89-26e6-4c27-b677-2d360b2ffa68,Explain sociological research to the general public.,New,6,07/2016,Occupational Expert
o_tasks/4c23adbe-1bc5-44a4-ac4c-bd7cfb8484ef,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",n/a,n/a,06/2006,Analyst
o_tasks/22bf0f3f-4923-4b0b-b6a7-ba76730575f9,52acffe8-5b3a-408f-8e80-2191326ccc2a,Write grants to obtain funding for research projects.,New,4,07/2016,Occupational Expert
o_tasks/3083886f-07c8-417c-ab7e-17fe3649e48f,15271,Develop expertise in subject matters related to committee assignments.,n/a,n/a,06/2006,Analyst
o_tasks/e2777231-dbab-405d-8723-79cecdf05a39,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",n/a,n/a,06/2006,Analyst
o_tasks/8598baa5-ffff-48f0-a374-6037ed0e460e,03861ba6-a3a8-4a46-a799-0cbd96f16de7,Design exhibits of artifacts.,New,4,07/2012,Occupational Expert
o_tasks/afc5a6a9-9f1a-40a5-8eac-5cc0727042fc,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",n/a,n/a,06/2006,Analyst
o_tasks/c63aa675-4153-496a-b8f1-cd538d64388d,32d9e8ef-5c9c-4600-8c2f-f77ac09ace13,Educate the public about archeology.,New,11,07/2012,Occupational Expert
o_tasks/0182211e-0cd2-4858-8c53-4a405ef1a5ad,15274,Maintain knowledge of relevant national and international current events.,n/a,n/a,06/2006,Analyst
o_tasks/8375255b-e8ae-41fe-9cf1-94039d005c3f,6d473368-3fad-433c-8604-8785ad2833c3,Mentor archeology students.,New,4,07/2012,Occupational Expert
o_tasks/94b87aab-6568-4728-8b32-eb12d00ddc6f,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",n/a,n/a,06/2006,Analyst
o_tasks/4caba56c-007b-4ae4-aa63-4375b652f5c1,75945c54-d1af-43cc-a210-7a5366c5b553,Advise political science students.,New,10,07/2017,Occupational Expert
o_tasks/ac0154b9-df3c-4041-9a95-8b7f91288888,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",n/a,n/a,06/2006,Analyst
o_tasks/1ec1923e-abac-4d6d-a7fd-c5cb8e9b3281,ccb93b7c-cbb2-4d55-9933-7ab176a95d9f,Serve on committees.,New,4,07/2017,Occupational Expert
